"Intel Core i7 8700"
"SSD Sata 2.5 120 Gb","10.0","Negociável","92.69599591425978 km","Torres Novas (São Pedro), Lapas E Ribeira Branca","02 de julho de 2025","https://www.olx.pt//d/anuncio/ssd-sata-2-5-120-gb-IDITaKk.html"
"SSD 120G  PNY CS900 2,5" Sata III","13.9","","10.400055138557324 km","Amadora","19 de junho de 2025","https://www.olx.pt//d/anuncio/ssd-120g-pny-cs900-2-5-sata-iii-IDISlAC.html"
"SSD Micron Nvme Pcie Gen3 256Gb","15.0","","8.535048907594948 km","Encosta do Sol","26 de junho de 2025","https://www.olx.pt//d/anuncio/ssd-micron-nvme-pcie-gen3-256gb-IDIUGwY.html"
"SSD 128GB 2.5" Sata III","15.0","","30.086468512334093 km","Cascais E Estoril","23 de junho de 2025","https://www.olx.pt//d/anuncio/ssd-128gb-2-5-sata-iii-IDIUvxB.html"
"SSD SanDisk X600 256GB SATA M.2 2280","15.0","","6.583934954999185 km","Santa Iria De Azoia, São João Da Talha E Bobadela","14 de junho de 2025","https://www.olx.pt//d/anuncio/ssd-sandisk-x600-256gb-sata-m-2-2280-IDITTFl.html"
"SSD 256 GB - X600 da SANDISK -  Testados Várias Unidades","17.0","","26.179258988602513 km","Mafra","02 de julho de 2025","https://www.olx.pt//d/anuncio/ssd-256-gb-x600-da-sandisk-testados-vrias-unidades-IDHuHB2.html"
"Vendo SSD 128GB 520MB/s","18.0","","12.981773144734964 km","Montijo E Afonsoeiro","05 de junho de 2025","https://www.olx.pt//d/anuncio/vendo-ssd-128gb-520mb-s-IDIP9SD.html"
"SSD Memória 60€. Variedade","19.0","","39.75408038257595 km","Azambuja","Hoje às 12:35","https://www.olx.pt//d/anuncio/ssd-memria-60-variedade-IDIWenw.html"
"Ssd sata 3 6GB/s 128GB 2.5”","20.0","","22.184392876410737 km","Malveira E São Miguel De Alcainça","Hoje às 19:49","https://www.olx.pt//d/anuncio/ssd-sata-3-6gb-s-128gb-2-5-IDIJOaC.html"
"Vendo um ssd m2 da adata","20.0","","11.97261128816406 km","Carnaxide E Queijas","09 de junho de 2025","https://www.olx.pt//d/anuncio/vendo-um-ssd-m2-da-adata-IDIC0Ii.html"
"Disco SSD Samsung 128gb","20.0","","29.41514476214684 km","Azeitão (São Lourenço E São Simão)","26 de junho de 2025","https://www.olx.pt//d/anuncio/disco-ssd-samsung-128gb-IDHoVwo.html?reason=extended_search_extended_semantic"
"Disco SSD_SATA_Dell_120Gb","22.0","","11.618786167181442 km","Póvoa De Santa Iria E Forte Da Casa","11 de junho de 2025","https://www.olx.pt//d/anuncio/disco-ssd-sata-dell-120gb-IDIaMwn.html"
